steps: 115000   train: 1.126bpc val: 1.108bpc   ms/batch: 640.6 span_avg: 187   span_max: 4502
steps: 116000   train: 1.123bpc val: 1.102bpc   ms/batch: 616.3 span_avg: 188   span_max: 4499
steps: 117000   train: 1.112bpc val: 1.102bpc   ms/batch: 607.6 span_avg: 188   span_max: 4503
steps: 118000   train: 1.118bpc val: 1.106bpc   ms/batch: 641.4 span_avg: 189   span_max: 4501
steps: 119000   train: 1.124bpc val: 1.101bpc   ms/batch: 618.0 span_avg: 188   span_max: 4501
steps: 120000   train: 1.110bpc val: 1.097bpc   ms/batch: 607.1 span_avg: 189   span_max: 4498
steps: 121000   train: 1.120bpc val: 1.109bpc   ms/batch: 631.1 span_avg: 189   span_max: 4499
steps: 122000   train: 1.111bpc val: 1.102bpc   ms/batch: 627.7 span_avg: 190   span_max: 4502
steps: 123000   train: 1.117bpc val: 1.095bpc   ms/batch: 614.1 span_avg: 189   span_max: 4498
steps: 124000   train: 1.117bpc val: 1.104bpc   ms/batch: 612.7 span_avg: 189   span_max: 4499
steps: 125000   train: 1.106bpc val: 1.101bpc   ms/batch: 649.0 span_avg: 190   span_max: 4501
steps: 126000   train: 1.117bpc val: 1.094bpc   ms/batch: 629.8 span_avg: 190   span_max: 4501
steps: 127000   train: 1.117bpc val: 1.101bpc   ms/batch: 618.3 span_avg: 190   span_max: 4497
steps: 128000   train: 1.104bpc val: 1.102bpc   ms/batch: 613.6 span_avg: 191   span_max: 4504
steps: 129000   train: 1.110bpc val: 1.094bpc   ms/batch: 612.5 span_avg: 191   span_max: 4499
steps: 130000   train: 1.117bpc val: 1.101bpc   ms/batch: 611.5 span_avg: 191   span_max: 4503
steps: 131000   train: 1.103bpc val: 1.102bpc   ms/batch: 608.7 span_avg: 191   span_max: 4499
steps: 132000   train: 1.114bpc val: 1.088bpc   ms/batch: 606.7 span_avg: 192   span_max: 4501
steps: 133000   train: 1.104bpc val: 1.098bpc   ms/batch: 605.1 span_avg: 192   span_max: 4503
steps: 134000   train: 1.110bpc val: 1.099bpc   ms/batch: 608.8 span_avg: 193   span_max: 4503
steps: 135000   train: 1.111bpc val: 1.091bpc   ms/batch: 609.6 span_avg: 192   span_max: 4502
steps: 136000   train: 1.100bpc val: 1.097bpc   ms/batch: 609.2 span_avg: 192   span_max: 4502
steps: 137000   train: 1.110bpc val: 1.101bpc   ms/batch: 609.0 span_avg: 193   span_max: 4505
steps: 138000   train: 1.111bpc val: 1.086bpc   ms/batch: 610.1 span_avg: 192   span_max: 4502
steps: 123000   train: 1.117bpc val: 1.095bpc   ms/batch: 614.1 span_avg: 189   span_max: 4498
steps: 124000   train: 1.117bpc val: 1.104bpc   ms/batch: 612.7 span_avg: 189   span_max: 4499
steps: 125000   train: 1.106bpc val: 1.101bpc   ms/batch: 649.0 span_avg: 190   span_max: 4501
